Threshold,Recall,Precision,F1,TP,FP,FN,TN,Alert_Fatigue
0.05,0.875,0.0558,0.1049,14,237,2,72,0.9442
0.1,0.875,0.0787,0.1443,14,164,2,145,0.9213
0.15,0.75,0.1121,0.1951,12,95,4,214,0.8879
0.2,0.625,0.1351,0.2222,10,64,6,245,0.8649
0.25,0.5,0.1667,0.25,8,40,8,269,0.8333
0.3,0.5,0.2581,0.3404,8,23,8,286,0.7419
0.35,0.375,0.3529,0.3636,6,11,10,298,0.6471
0.4,0.1875,0.3,0.2308,3,7,13,302,0.7
0.45,0.0,0.0,0.0,0,3,16,306,1.0
0.5,0.0,0.0,0.0,0,1,16,308,1.0
0.55,0.0,0.0,0.0,0,1,16,308,1.0
0.6,0.0,0.0,0.0,0,1,16,308,1.0
0.65,0.0,0.0,0.0,0,0,16,309,0.0
0.7,0.0,0.0,0.0,0,0,16,309,0.0
0.75,0.0,0.0,0.0,0,0,16,309,0.0
0.8,0.0,0.0,0.0,0,0,16,309,0.0
0.85,0.0,0.0,0.0,0,0,16,309,0.0
0.9,0.0,0.0,0.0,0,0,16,309,0.0
0.95,0.0,0.0,0.0,0,0,16,309,0.0
